"","cleanseg2019","Freq"
"1","語言",198
"2","語言學",61
"3","研究",57
"4","人類",41
"5","邏輯",39
"6","溝通",38
"7","了解",30
"8","文化",28
"9","一門",24
"10","結構",23
"11","一種",22
"12","學問",20
"13","人",18
"14","中",18
"15","方式",17
"16","有趣",17
"17","發展",16
"18","科學",16
"19","學科",15
"20","分析",14
"21","文字",14
"22","方法",13
"23","透過",12
"24","學習",12
"25","一個",12
"26","發音",11
"27","邏輯推理",11
"28","思考",11
"29","文法",11
"30","需要",11
"31","包含",10
"32","規律",10
"33","語法",10
"34","之間",10
"35","規則",9
"36","句法",9
"37","橋樑",9
"38","探究",9
"39","探討",9
"40","應用",9
"41","意義",8
"42","包括",7
"43","表達",7
"44","覺得",7
"45","歷史",7
"46","領域",7
"47","使用",7
"48","世界",7
"49","語意",7
"50","關係",6
"51","瞭解",6
"52","認識",6
"53","一定",6
"54","語音",6
"55","運用",6
"56","找出",6
"57","組合",6
"58","幫助",5
"59","符號",5
"60","觀察",5
"61","歸納",5
"62","架構",5
"63","角度",5
"64","結合",5
"65","科學研究",5
"66","推理",5
"67","學",5
"68","演變",5
"69","一些",5
"70","重要",5
"71","NA",5
"72","差異",4
"73","東西",4
"74","發現",4
"75","分支",4
"76","改變",4
"77","基礎",4
"78","間",4
"79","理解",4
"80","媒介",4
"81","每個",4
"82","能夠",4
"83","認為",4
"84","融合",4
"85","生活",4
"86","聲音",4
"87","時間",4
"88","是從",4
"89","題目",4
"90","興趣",4
"91","許多",4
"92","尋找",4
"93","意思",4
"94","英文",4
"95","語系",4
"96","知識",4
"97","族群",4
"98","組成",4
"99","背後",3
"100","比較",3
"101","變化",3
"102","層面",3
"103","拆解",3
"104","傳承",3
"105","創造",3
"106","詞法",3
"107","發出",3
"108","發明",3
"109","方面",3
"110","工具",3
"111","共通性",3
"112","關聯",3
"113","過程",3
"114","藉由",3
"115","幾種",3
"116","接觸",3
"117","解釋",3
"118","看到",3
"119","考生",3
"120","課",3
"121","母語",3
"122","內容",3
"123","能力",3
"124","排列組合",3
"125","剖析",3
"126","清楚",3
"127","人類文明",3
"128","社會",3
"129","未知",3
"130","習慣",3
"131","想",3
"132","想法",3
"133","像是",3
"134","訊息",3
"135","演進",3
"136","音",3
"137","用來",3
"138","有點",3
"139","語義",3
"140","語用",3
"141","之處",3
"142","之後",3
"143","之前",3
"144","知道",3
"145","專門",3
"146","字母",3
"147","自然",3
"148","奧妙",2
"149","差別",2
"150","產生",2
"151","成因",2
"152","呈現",2
"153","程度",2
"154","充實",2
"155","詞",2
"156","詞語",2
"157","存在",2
"158","代表",2
"159","單詞",2
"160","地方",2
"161","地區",2
"162","獨特",2
"163","對話",2
"164","多種",2
"165","翻譯",2
"166","範圍",2
"167","分成",2
"168","各地",2
"169","給予",2
"170","根本",2
"171","共通",2
"172","構成",2
"173","構詞",2
"174","構造",2
"175","廣泛",2
"176","國家",2
"177","過去",2
"178","涵蓋",2
"179","好玩",2
"180","很大",2
"181","環境",2
"182","記錄",2
"183","接收",2
"184","解構",2
"185","解析",2
"186","進行",2
"187","句",2
"188","具備",2
"189","具有",2
"190","決定",2
"191","看過",2
"192","科目",2
"193","客觀",2
"194","來說",2
"195","來源",2
"196","裡",2
"197","利用",2
"198","暸解",2
"199","沒什麼",2
"200","迷人",2
"201","模式",2
"202","目的",2
"203","目前",2
"204","難",2
"205","喔",2
"206","破解",2
"207","起源",2
"208","遷徙",2
"209","人文",2
"210","日常生活",2
"211","容易",2
"212","伸出",2
"213","深奧",2
"214","聲調",2
"215","聲韻",2
"216","時代",2
"217","實際",2
"218","說出",2
"219","特性",2
"220","統整",2
"221","完全",2
"222","無法",2
"223","系統",2
"224","系統性",2
"225","下",2
"226","現今",2
"227","現有",2
"228","現在",2
"229","相關",2
"230","享受",2
"231","想像",2
"232","行為",2
"233","學會",2
"234","言語",2
"235","衍",2
"236","一點",2
"237","一項",2
"238","異同",2
"239","音韻",2
"240","應該",2
"241","影響",2
"242","用法",2
"243","用字",2
"244","有所",2
"245","語感",2
"246","語文",2
"247","語音學",2
"248","讚",2
"249","長期",2
"250","之中",2
"251","直覺",2
"252","只",2
"253","智慧",2
"254","中文",2
"255","注重",2
"256","字",2
"257","最",2
"258","做",2
"259","阿爾泰",1
"260","埃及",1
"261","愛",1
"262","奧",1
"263","奧林匹",1
"264","奧林匹亞",1
"265","奧秘",1
"266","包羅萬象",1
"267","背景",1
"268","本質",1
"269","比例",1
"270","必教",1
"271","遍佈",1
"272","變遷",1
"273","變造",1
"274","表達方式",1
"275","表現",1
"276","並把",1
"277","並不",1
"278","並不需",1
"279","並將",1
"280","博大精深",1
"281","不錯",1
"282","不斷更新",1
"283","不多",1
"284","不規則",1
"285","不論是",1
"286","不甚瞭解",1
"287","不熟",1
"288","不太",1
"289","不太會",1
"290","不通",1
"291","不同之處",1
"292","部分",1
"293","參加",1
"294","藏",1
"295","曾經",1
"296","常處",1
"297","嘗試",1
"298","沈澱",1
"299","成功",1
"300","承載",1
"301","持續",1
"302","充滿",1
"303","抽象概念",1
"304","出現",1
"305","初選",1
"306","處",1
"307","傳達",1
"308","傳遞",1
"309","創新",1
"310","純樸",1
"311","詞句",1
"312","詞義",1
"313","從眾",1
"314","粗淺",1
"315","搭起",1
"316","答案",1
"317","大部分",1
"318","大腦",1
