"","cleanseg2016","Freq"
"1","語言",142
"2","語言學",70
"3","研究",57
"4","人類",33
"5","結構",22
"6","邏輯",22
"7","了解",21
"8","文化",21
"9","一門",19
"10","中",18
"11","科學",15
"12","領域",15
"13","分析",14
"14","文法",14
"15","學問",14
"16","語意",14
"17","人",13
"18","文字",13
"19","溝通",12
"20","歷史",12
"21","一種",12
"22","發展",11
"23","思考",11
"24","語音",11
"25","方式",10
"26","使用",9
"27","學",9
"28","學科",9
"29","音韻",9
"30","音韻學",9
"31","法學",8
"32","工具",8
"33","規則",8
"34","句法",8
"35","語法",8
"36","之間",8
"37","包含",7
"38","句",7
"39","瞭解",7
"40","透過",7
"41","學習",7
"42","語音學",7
"43","包括",6
"44","構詞",6
"45","規律",6
"46","間",6
"47","一個",6
"48","關係",5
"49","藉由",5
"50","交流",5
"51","覺得",5
"52","邏輯性",5
"53","社會",5
"54","探究",5
"55","探索",5
"56","系統",5
"57","形成",5
"58","意義",5
"59","幫助",4
"60","變遷",4
"61","傳承",4
"62","方法",4
"63","更是",4
"64","古老",4
"65","關聯",4
"66","歸納",4
"67","國文",4
"68","句子",4
"69","科目",4
"70","理解",4
"71","能力",4
"72","剖析",4
"73","橋樑",4
"74","認為",4
"75","生活",4
"76","探討",4
"77","需要",4
"78","許多",4
"79","學術",4
"80","演變",4
"81","應用",4
"82","有趣",4
"83","資訊",4
"84","變化",3
"85","層面",3
"86","差異",3
"87","發音",3
"88","範圍",3
"89","方面",3
"90","符號",3
"91","觀察",3
"92","涵蓋",3
"93","很大",3
"94","接觸",3
"95","科學研究",3
"96","邏輯推理",3
"97","目前",3
"98","人類文明",3
"99","涉及",3
"100","聲音",3
"101","時代",3
"102","完全",3
"103","系",3
"104","現代",3
"105","像是",3
"106","心理",3
"107","興趣",3
"108","應該",3
"109","語系",3
"110","元素",3
"111","運作",3
"112","找出",3
"113","知道",3
"114","知識",3
"115","組成",3
"116","最",3
"117","本能",2
"118","本質",2
"119","不可或缺",2
"120","部分",2
"121","曾",2
"122","產生",2
"123","抽象",2
"124","詞意",2
"125","詞語",2
"126","單詞",2
"127","得知",2
"128","讀過",2
"129","略懂",2
"130","翻譯",2
"131","分為",2
"132","分支",2
"133","各國",2
"134","根本",2
"135","好像",2
"136","很廣",2
"137","基礎",2
"138","角度",2
"139","教授",2
"140","結晶",2
"141","解析",2
"142","進一步",2
"143","句式",2
"144","具體",2
"145","科技",2
"146","理性",2
