"","cleanseg2017","Freq"
"1","語言",145
"2","語言學",56
"3","研究",41
"4","邏輯",33
"5","文化",31
"6","人類",28
"7","溝通",25
"8","結構",23
"9","分析",20
"10","一種",18
"11","學問",16
"12","人",15
"13","透過",14
"14","一個",14
"15","科學",12
"16","了解",12
"17","使用",12
"18","思考",12
"19","學習",12
"20","一門",12
"21","有趣",11
"22","發展",10
"23","方式",10
"24","工具",10
"25","文法",10
"26","覺得",9
"27","歷史",9
"28","邏輯推理",9
"29","變化",8
"30","瞭解",8
"31","語法",8
"32","表達",7
"33","規律",7
"34","世界",7
"35","探討",7
"36","意義",7
"37","應用",7
"38","重要",7
"39","方法",6
"40","規則",6
"41","認識",6
"42","生活",6
"43","文字",6
"44","興趣",6
"45","需要",6
"46","運用",6
"47","之間",6
"48","中",6
"49","比較",5
"50","發現",5
"51","發音",5
"52","歸納",5
"53","基礎",5
"54","學科",5
"55","演變",5
"56","一些",5
"57","用來",5
"58","找出",5
"59","充滿",4
"60","代表",4
"61","單字",4
"62","過程",4
"63","社會",4
"64","題目",4
"65","喜歡",4
"66","相異",4
"67","語",4
"68","語系",4
"69","族群",4
"70","最",4
"71","包含",3
"72","包括",3
"73","表現",3
"74","產生",3
"75","詞",3
"76","存在",3
"77","多種",3
"78","分類",3
"79","感覺",3
"80","關聯性",3
"81","關係",3
"82","國家",3
"83","後",3
"84","藉由",3
"85","交流",3
"86","接觸",3
"87","句子",3
"88","來說",3
"89","理解",3
"90","理論",3
"91","脈絡",3
"92","媒介",3
"93","每種",3
"94","民族",3
"95","認為",3
"96","生物",3
"97","時",3
"98","時間",3
"99","事物",3
"100","探究",3
"101","推測",3
"102","相關",3
"103","相同",3
"104","藝術",3
"105","語法結構",3
"106","語音",3
"107","語音學",3
"108","找到",3
"109","奧妙",2
"110","幫助",2
"111","保存",2
"112","背後",2
"113","背景",2
"114","並不",2
"115","不斷",2
"116","曾經",2
"117","徜徉",2
"118","暢快",2
"119","抽絲剝繭",2
"120","地方",2
"121","獨特",2
"122","而成",2
"123","而生",2
"124","非常豐富",2
"125","符號",2
"126","概念",2
"127","各國",2
"128","各式各樣",2
"129","更是",2
"130","工作",2
"131","公式",2
"132","很大",2
"133","很長",2
"134","機制",2
"135","積極",2
"136","架構",2
"137","間",2
"138","建立",2
"139","角度",2
"140","進一步",2
"141","句法",2
"142","句型",2
"143","具有",2
"144","看到",2
"145","看似",2
"146","類似",2
"147","領域",2
"148","民俗風情",2
"149","能夠",2
"150","能力",2
"151","強烈",2
"152","橋樑",2
"153","卻",2
"154","人們",2
"155","日常",2
"156","稍微",2
"157","深入",2
"158","神奇",2
"159","生活習慣",2
"160","聲調",2
"161","聲韻",2
"162","十分",2
"163","試圖",2
"164","熟悉",2
"165","數學",2
"166","順利",2
"167","說",2
"168","思維",2
"169","討論",2
"170","特定",2
"171","外",2
"172","完全",2
"173","無",2
"174","無法",2
"175","系統",2
"176","現在",2
"177","相似",2
"178","詳細",2
"179","享受",2
"180","想",2
"181","想法",2
"182","形式",2
"183","性",2
"184","學",2
"185","學過",2
"186","學術研究",2
"187","尋找",2
"188","訓練",2
"189","延伸",2
"190","衍生",2
"191","演化",2
"192","一步",2
"193","意思",2
"194","音韻",2
"195","影響",2
"196","語奧",2
"197","語感",2
"198","語文",2
"199","語意",2
"200","運作",2
"201","整個",2
"202","正在",2
"203","之處",2
"204","之於",2
"205","中文",2
"206","注重",2
"207","資訊",2
"208","字根",2
"209","字學",2
"210","組成",2
"211","做",2
"212","曖昧不明",1
"213","暗號",1
"214","奧林匹亞",1
"215","般",1
"216","辦法",1
"217","被築釋",1
"218","本書",1
"219","比較語言學",1
"220","必要",1
"221","必用",1
"222","變換",1
"223","變遷",1
"224","表達方式",1
"225","瀕危",1
"226","博大精深",1
"227","不變",1
"228","不多",1
"229","不快",1
"230","不難",1
"231","不同於",1
"232","不用",1
"233","部首",1
"234","參與",1
"235","藏",1
"236","差",1
"237","差別",1
"238","闡釋",1
"239","超",1
"240","稱呼",1
"241","成就",1
"242","出口",1
"243","出裡面",1
"244","處",1
"245","傳承",1
"246","傳遞",1
"247","創造",1
"248","詞彙",1
"249","詞句",1
"250","詞性",1
"251","詞語",1
"252","此種",1
"253","從零開始",1
"254","從前",1
"255","促進",1
"256","錯綜複雜",1
"257","答案",1
"258","大部分",1
"259","大海",1
"260","大量",1
"261","大陸",1
"262","大門",1
"263","大腦",1
"264","帶來",1
"265","德克",1
"266","地點",1
"267","地理",1
"268","地理環境",1
"269","地區",1
"270","懂",1
"271","動筆",1
"272","動詞變化",1
"273","動得",1
"274","動物",1
"275","對外",1
"276","多半",1
"277","多樣性",1
"278","多元",1
"279","略知一二",1
"280","而出",1
"281","反映",1
"282","方面",1
"283","方言",1
"284","彷彿",1
"285","分為",1
"286","分支",1
"287","分作",1
"288","付諸",1
"289","富有",1
"290","賦予",1
"291","該地",1
"292","改變",1
"293","感情",1
"294","高深莫測",1
"295","高中",1
"296","隔絕",1
"297","各地",1
"298","各有",1
"299","個性",1
"300","根本",1
"301","共通性",1
"302","溝通交流",1
"303","構詞",1
"304","古代",1
"305","古漢語",1
"306","古今",1
"307","關鍵",1
"308","觀察",1
"309","觀察力",1
"310","廣泛",1
"311","瑰寶",1
"312","軌跡",1
"313","國際",1
"314","國中",1
"315","含義",1
"316","含有",1
"317","韓語",1
"318","漢字",1
"319","好難",1
"320","好玩",1
"321","好像",1
"322","很爽",1
"323","互通性",1
"324","話語",1
"325","會得",1
"326","獲得",1
"327","機會",1
"328","記物",1
"329","價值",1
"330","間接",1
"331","簡單",1
"332","簡介",1
"333","建構",1
"334","將以",1
"335","交叉",1
"336","交友",1
"337","接軌",1
"338","階段",1
"339","結晶",1
"340","解",1
"341","解決問題",1
"342","解碼",1
"343","解題",1
"344","進化",1
"345","進行",1
"346","就連",1
"347","拘泥於",1
"348","句",1
"349","句意",1
"350","具",1
"351","具備",1
"352","開啟",1
"353","看不懂",1
"354","看見",1
"355","看字",1
"356","科技",1
"357","可能性",1
"358","客觀",1
"359","客家",1
"360","課",1
"361","課程",1
"362","口音",1
"363","跨學科",1
"364","擴充",1
"365","拉丁語系",1
"366","來自",1
"367","裡",1
"368","力",1
"369","利用",1
"370","連結",1
"371","兩類",1
"372","令",1
"373","邏輯性",1
"374","罵",1
"375","每個",1
"376","每句話",1
"377","美",1
"378","美及",1
"379","美學",1
"380","門",1
"381","密不可分",1
"382","密碼",1
"383","密碼學",1
"384","密切",1
"385","面對",1
"386","面向",1
"387","描述語言",1
"388","民族風情",1
"389","民族性",1
"390","敏感",1
"391","閩南語",1
"392","名詞",1
"393","明白",1
"394","明確",1
"395","冥冥之中",1
"396","模式",1
"397","母語",1
"398","耐人尋味",1
"399","腦筋",1
"400","腦子",1
"401","內容",1
"402","能用",1
"403","念",1
"404","唸法",1
"405","濃縮",1
"406","排列",1
"407","排列組合",1
"408","判讀",1
"409","龐大",1
"410","培養",1
"411","培養能力",1
"412","皮毛",1
"413","譬喻",1
"414","拼音",1
"415","平常",1
"416","平日",1
"417","平易近人",1
"418","其會",1
"419","起步",1
"420","起源",1
"421","牽涉到",1
"422","淺水灘",1
"423","切入點",1
"424","情感",1
"425","情緒",1
"426","趨勢",1
"427","趣味性",1
"428","詮釋",1
"429","缺乏",1
"430","卻是",1
"431","群居",1
"432","人士",1
"433","人文科學",1
"434","任一",1
"435","認知",1
"436","日",1
"437","日常生活",1
"438","日耳曼語",1
"439","融合",1
"440","融會貫通",1
"441","如同",1
"442","賽",1
"443","上分",1
"444","社計畫",1
"445","涉及",1
"446","深奧",1
"447","深層",1
"448","深入探討",1
"449","深入研究",1
"450","深深",1
"451","生理",1
"452","生物學",1
"453","失去",1
"454","時空",1
"455","時時刻刻",1
"456","實際",1
"457","實踐",1
"458","世界各地",1
"459","似懂非懂",1
"460","事情",1
"461","是將",1
"462","視野",1
"463","首要條件",1
"464","受限",1
"465","書籍",1
"466","熟",1
"467","順便",1
"468","說話",1
"469","思考力",1
"470","思索",1
"471","死背",1
"472","算數",1
"473","所屬",1
"474","所學",1
"475","所用",1
"476","拓展",1
"477","態度",1
"478","談吐",1
"479","探索",1
"480","特別",1
"481","特色",1
"482","特有",1
"483","提示",1
"484","提醒",1
"485","天分",1
"486","挑戰",1
"487","聽",1
"488","同一",1
"489","統計",1
"490","透漏",1
"491","透露",1
"492","圖像",1
"493","推斷",1
"494","推理",1
"495","推論",1
"496","推演",1
"497","萬千",1
"498","網站",1
"499","微博上",1
"500","微妙",1
"501","未曾",1
"502","未來",1
"503","未知",1
"504","文明化",1
"505","文學",1
"506","問題",1
"507","我爸",1
"508","無際",1
"509","無聊",1
"510","五花八門",1
"511","吸收",1
"512","吸引",1
"513","習得",1
"514","習慣用法",1
"515","系",1
"516","細究",1
"517","息息相關",1
"518","先",1
"519","先人",1
"520","顯示",1
"521","現實",1
"522","相當",1
"523","相似之處",1
"524","項目",1
"525","像是",1
"526","小魚",1
"527","寫",1
"528","心理",1
"529","新",1
"530","形成",1
"531","型態",1
"532","性格",1
"533","性質",1
"534","須要",1
"535","需",1
"536","許多",1
"537","選擇",1
"538","學好",1
"539","學門",1
"540","學派",1
"541","學時",1
"542","迅速",1
"543","訊息",1
"544","言辭",1
"545","研",1
"546","眼中",1
"547","演繹",1
"548","樣貌",1
"549","要素",1
"550","鑰匙",1
"551","耶",1
"552","也許",1
"553","一道道",1
"554","一點",1
"555","一定",1
"556","一片空白",1
"557","一套",1
"558","一無所知",1
"559","一直",1
"560","醫學",1
"561","已知",1
"562","以來",1
"563","異同",1
"564","因應",1
"565","因緣際會",1
"566","音",1
"567","音節",1
"568","音韻學",1
"569","英文",1
"570","應",1
"571","應當",1
"572","用法",1
"573","用以",1
"574","用於",1
"575","尤其",1
"576","由來",1
"577","有限",1
"578","有效",1
"579","有助於",1
"580","與其說是",1
"581","語調",1
"582","語文能力",1
"583","語言文字",1
"584","語義學",1
"585","原因",1
"586","原住民",1
"587","越",1
"588","閱讀",1
"589","運轉",1
"590","在極",1
"591","在外",1
"592","造成",1
"593","找",1
"594","這是",1
"595","着迷",1
"596","著迷",1
"597","真的",1
"598","針對",1
"599","整合",1
"600","整理",1
"601","正式",1
"602","正是",1
"603","之人",1
"604","之下",1
"605","支撐",1
"606","知道",1
"607","知識",1
"608","值得",1
"609","只學到",1
"610","指標",1
"611","智慧",1
"612","中詞",1
"613","中是",1
"614","中專",1
"615","種",1
"616","種族",1
"617","重新",1
"618","重要性",1
"619","蛛絲馬跡",1
"620","逐漸",1
"621","主觀",1
"622","注音",1
"623","專門",1
"624","專們",1
"625","轉變",1
"626","字詞",1
"627","字首",1
"628","字型",1
"629","自取",1
"630","自然",1
"631","自我",1
"632","自我意識",1
"633","自幼",1
"634","總有",1
"635","最佳",1
"636","最近",1
"637","ㄧ",1
