"","cleanseg2018","Freq"
"1","語言",153
"2","語言學",46
"3","研究",39
"4","邏輯",32
"5","了解",26
"6","人",25
"7","文化",25
"8","人類",22
"9","一種",19
"10","科學",19
"11","溝通",18
"12","學問",14
"13","透過",14
"14","文法",13
"15","一個",12
"16","思考",12
"17","一門",11
"18","分析",11
"19","學習",11
"20","有趣",11
"21","文字",10
"22","方法",10
"23","結構",10
"24","探討",9
"25","方式",9
"26","認為",9
"27","之間",8
"28","規則",8
"29","語法",8
"30","運用",8
"31","關係",8
"32","中",7
"33","定義",7
"34","瞭解",7
"35","覺得",7
"36","邏輯推理",7
"37","需要",7
"38","世界",6
"39","事物",6
"40","使用",6
"41","利用",6
"42","字",6
"43","知識",6
"44","興趣",6
"45","工具",5
"46","意思",5
"47","接觸",5
"48","歸納",5
"49","演變",5
"50","理解",5
"51","發展",5
"52","許多",5
"53","語音",5
"54","說",5
"55","像是",4
"56","剖析",4
"57","包含",4
"58","喜歡",4
"59","單字",4
"60","存在",4
"61","學科",4
"62","已知",4
"63","性",4
"64","東西",4
"65","每種",4
"66","民族",4
"67","深奧",4
"68","特色",4
"69","當地",4
"70","社會",4
"71","英文",4
"72","藉由",4
"73","表達",4
"74","角度",4
"75","造字",4
"76","一些",3
"77","一定",3
"78","主要",3
"79","交流",3
"80","分支",3
"81","動詞",3
"82","只",3
"83","各國",3
"84","基礎",3
"85","媒介",3
"86","希望",3
"87","建立",3
"88","影響",3
"89","思維",3
"90","想",3
"91","意義",3
"92","感覺",3
"93","推理",3
"94","敏感度",3
"95","時期",3
"96","有時候",3
"97","未知",3
"98","架構",3
"99","椅子",3
"100","看過",3
"101","組成",3
"102","能力",3
"103","解出",3
"104","認知",3
"105","認識",3
"106","變化",3
"107","進行",3
"108","過程",3
"109","門",3
"110","間",3
"111","高",3
"112","一件",2
"113","一套",2
"114","不多",2
"115","中文",2
"116","事實上",2
"117","人們",2
"118","人造",2
"119","以來",2
"120","來說",2
"121","價值觀",2
"122","內容",2
"123","創造",2
"124","力量",2
"125","包括",2
"126","區分",2
"127","博大精深",2
"128","卻是",2
"129","參加",2
"130","同一個",2
"131","名詞",2
"132","問題",2
"133","嘗試",2
"134","國家",2
"135","國際",2
"136","外國",2
"137","外語",2
"138","好玩",2
"139","完全",2
"140","專業",2
"141","尤其",2
"142","就讀",2
"143","形狀",2
"144","很酷",2
"145","很難",2
"146","後",2
"147","得知",2
"148","性質",2
"149","想法",2
"150","懂",2
"151","應用",2
"152","找出",2
"153","抽象",2
"154","探究",2
"155","探索",2
"156","推敲",2
"157","推測",2
"158","擁有",2
"159","數學",2
"160","族群",2
"161","時間",2
"162","更是",2
"163","最",2
"164","根本",2
"165","概念",2
"166","橋樑",2
"167","機會",2
"168","歷史",2
"169","比較",2
"170","沒什麼",2
"171","活動",2
"172","深入",2
"173","深入研究",2
"174","清楚",2
