"","cleanseg2019","Freq"
"1","語言",198
"2","語言學",61
"3","研究",57
"4","人類",41
"5","邏輯",39
"6","溝通",38
"7","了解",30
"8","文化",28
"9","一門",24
"10","結構",23
"11","一種",22
"12","學問",20
"13","中",18
"14","人",18
"15","方式",17
"16","有趣",17
"17","發展",16
"18","科學",16
"19","學科",15
"20","分析",14
"21","文字",14
"22","方法",13
"23","一個",12
"24","學習",12
"25","透過",12
"26","思考",11
"27","文法",11
"28","發音",11
"29","邏輯推理",11
"30","需要",11
"31","之間",10
"32","包含",10
"33","規律",10
"34","語法",10
"35","句法",9
"36","應用",9
"37","探究",9
"38","探討",9
"39","橋樑",9
"40","規則",9
"41","意義",8
"42","世界",7
"43","使用",7
"44","包括",7
"45","歷史",7
"46","表達",7
"47","覺得",7
"48","語意",7
"49","領域",7
"50","一定",6
"51","找出",6
"52","瞭解",6
"53","組合",6
"54","認識",6
"55","語音",6
"56","運用",6
"57","關係",6
"58","NA",5
"59","一些",5
"60","學",5
"61","幫助",5
"62","推理",5
"63","架構",5
"64","歸納",5
"65","演變",5
"66","科學研究",5
"67","符號",5
"68","結合",5
"69","觀察",5
"70","角度",5
"71","重要",5
"72","分支",4
"73","基礎",4
"74","媒介",4
"75","尋找",4
"76","差異",4
"77","意思",4
"78","改變",4
"79","族群",4
"80","是從",4
"81","時間",4
"82","東西",4
"83","每個",4
"84","理解",4
"85","生活",4
"86","發現",4
"87","知識",4
"88","組成",4
"89","聲音",4
"90","能夠",4
"91","興趣",4
"92","英文",4
"93","融合",4
"94","許多",4
"95","認為",4
"96","語系",4
"97","間",4
"98","題目",4
"99","之前",3
"100","之後",3
"101","之處",3
"102","人類文明",3
"103","傳承",3
"104","像是",3
"105","內容",3
"106","共通性",3
"107","剖析",3
"108","創造",3
"109","字母",3
"110","專門",3
"111","層面",3
"112","工具",3
"113","幾種",3
"114","想",3
"115","想法",3
"116","拆解",3
"117","排列組合",3
"118","接觸",3
"119","方面",3
"120","有點",3
"121","未知",3
"122","母語",3
"123","比較",3
"124","清楚",3
"125","演進",3
"126","用來",3
"127","發出",3
"128","發明",3
"129","看到",3
"130","知道",3
"131","社會",3
"132","習慣",3
"133","考生",3
"134","背後",3
"135","能力",3
"136","自然",3
"137","藉由",3
"138","解釋",3
"139","訊息",3
"140","詞法",3
"141","語用",3
"142","語義",3
"143","課",3
"144","變化",3
"145","過程",3
"146","關聯",3
"147","音",3
"148","一項",2
"149","一點",2
"150","下",2
"151","中文",2
"152","之中",2
"153","享受",2
"154","人文",2
"155","代表",2
"156","伸出",2
"157","來源",2
"158","來說",2
"159","做",2
"160","充實",2
"161","共通",2
"162","具備",2
"163","具有",2
"164","分成",2
"165","利用",2
"166","句",2
"167","只",2
"168","各地",2
"169","呈現",2
"170","喔",2
"171","單詞",2
"172","國家",2
"173","地區",2
"174","地方",2
"175","多種",2
"176","奧妙",2
"177","好玩",2
"178","字",2
"179","存在",2
"180","學會",2
"181","完全",2
"182","客觀",2
"183","容易",2
"184","實際",2
"185","對話",2
"186","差別",2
"187","廣泛",2
"188","影響",2
"189","很大",2
"190","想像",2
"191","應該",2
"192","成因",2
"193","接收",2
"194","日常生活",2
"195","時代",2
"196","智慧",2
"197","暸解",2
"198","最",2
"199","有所",2
"200","根本",2
"201","構成",2
"202","構詞",2
"203","構造",2
"204","模式",2
"205","決定",2
"206","沒什麼",2
"207","注重",2
"208","涵蓋",2
"209","深奧",2
"210","無法",2
"211","特性",2
"212","獨特",2
"213","現今",2
"214","現在",2
"215","現有",2
"216","環境",2
"217","產生",2
"218","用字",2
"219","用法",2
"220","異同",2
"221","目前",2
"222","目的",2
"223","直覺",2
"224","相關",2
"225","看過",2
"226","破解",2
"227","科目",2
"228","程度",2
"229","範圍",2
"230","系統",2
"231","系統性",2
"232","給予",2
"233","統整",2
"234","翻譯",2
"235","聲調",2
"236","聲韻",2
"237","行為",2
"238","衍",2
"239","裡",2
"240","解析",2
"241","解構",2
"242","言語",2
"243","記錄",2
"244","詞",2
"245","詞語",2
"246","語感",2
"247","語文",2
"248","語音學",2
"249","說出",2
"250","讚",2
"251","起源",2
"252","迷人",2
"253","進行",2
"254","過去",2
"255","遷徙",2
"256","長期",2
"257","難",2
"258","音韻",2
"259","ㄩ",1
"260","一塌糊塗",1
"261","一想",1
"262","一概",1
"263","一次",1
"264","一無所知",1
"265","一環",1
"266","一知半解",1
"267","一艘",1
"268","一部分",1
"269","上課",1
"270","不同之處",1
"271","不多",1
"272","不太",1
"273","不太會",1
"274","不斷更新",1
"275","不熟",1
"276","不甚瞭解",1
"277","不規則",1
"278","不論是",1
"279","不通",1
"280","不錯",1
"281","並不",1
"282","並不需",1
"283","並將",1
"284","並把",1
"285","中國",1
"286","中所",1
"287","中英文",1
"288","主題",1
"289","之美",1
"290","事物",1
"291","互動",1
"292","亦",1
"293","人們",1
"294","人則",1
"295","人士",1
"296","人工",1
"297","人工智慧",1
"298","人能",1
"299","人講",1
"300","今天",1
"301","以該",1
"302","似乎",1
"303","位置",1
"304","來往",1
"305","來自",1
"306","例子",1
"307","依然",1
"308","侷限於",1
"309","信心",1
"310","修過",1
"311","值得",1
"312","偉大",1
"313","偏向",1
"314","傳達",1
"315","傳遞",1
"316","價值觀",1
"317","元",1
"318","充滿",1
"319","入選國",1
"320","內在",1
"321","內心",1
